 -43.888    0.000 C01      2-11     29
 -40.512    0.000 C02      3-12     51
 -37.136    0.000 C03      4-12     72
 -33.760    0.000 C04      5-10     91
 -30.384    0.000 C05      6-13    115
 -27.008    0.000 C06      7-12    135
 -23.632    0.000 C07      8-14    158
 -20.256    0.000 C08       9-9    174
 -16.880    0.000 C09     10-11    197
 -13.504    0.000 C10      11-8    215
 -10.128    0.000 C11     12-12    240
  -6.752    0.000 C12     13-10    259
  -3.376    0.000 C13     14-12    282
   0.000    0.000 C14     15-11    302
   3.376    0.000 C15     16-10    322
   6.752    0.000 C16     17-12    345
  10.128    0.000 C17     18-10    364
  13.504    0.000 C18     19-12    387
  16.880    0.000 C19      20-9    405
  20.256    0.000 C20     21-13    430
  23.632    0.000 C21     22-10    448
  27.008    0.000 C22     23-11    470
  30.384    0.000 C23      24-8    488
  33.760    0.000 C24     25-13    514
  37.136    0.000 C25      26-9    531
  40.512    0.000 C26     27-12    555
  43.888    0.000 C27     28-10    574
 -42.200    2.924 13A      14-4    274
 -42.200   -2.924 15A      15-4    295
 -38.824    2.924 13B      12-9    237
 -38.824   -2.924 15B      15-8    299
 -35.448    2.924 13C     12-15    243
 -35.448   -2.924 15C     15-13    304
 -32.072    2.924 13D      13-6    255
 -32.072   -2.924 15D     15-21    312
 -28.696    2.924 13E      13-8    257
 -28.696   -2.924 15E     16-18    330
 -25.320    2.924 13F     13-19    268
 -25.320   -2.924 15F      17-8    341
 -21.944    2.924 13G     14-14    284
 -21.944   -2.924 15G      17-2    335
 -18.568    2.924 13H      15-7    298
 -18.568   -2.924 15H     17-17    350
 -15.192    2.924 13I     15-12    303
 -15.192   -2.924 15I      18-6    360
 -11.816    2.924 13J     15-14    305
 -11.816   -2.924 15J     18-13    367
  -8.440    2.924 13K      14-7    277
  -8.440   -2.924 15K     18-21    375
  -5.064    2.924 13L     15-20    311
  -5.064   -2.924 15L     17-14    347
  -1.688    2.924 13M     14-16    286
  -1.688   -2.924 15M      16-7    319
   1.688    2.924 13N     15-16    307
   1.688   -2.924 15N     16-21    333
   5.064    2.924 13O      16-1    313
   5.064   -2.924 15O      19-7    382
   8.440    2.924 13P     14-20    290
   8.440   -2.924 15P     19-16    391
  11.816    2.924 13Q     14-13    283
  11.816   -2.924 15Q     19-14    389
  15.192    2.924 13R     14-10    280
  15.192   -2.924 15R     19-11    386
  18.568    2.924 13S      14-2    272
  18.568   -2.924 15S     18-11    365
  21.944    2.924 13T     13-21    270
  21.944   -2.924 15T     17-10    343
  25.320    2.924 13U     13-14    263
  25.320   -2.924 15U     16-14    326
  28.696    2.924 13V     13-11    260
  28.696   -2.924 15V     16-11    323
  32.072    2.924 13W      13-4    253
  32.072   -2.924 15W      16-2    314
  35.448    2.924 13X     12-17    245
  35.448   -2.924 15X     15-10    301
  38.824    2.924 13Y      12-6    234
  38.824   -2.924 15Y      15-6    297
  42.200    2.924 13Z     14-17    287
  42.200   -2.924 15Z     15-17    308
 -40.512    5.847 12A      13-3    252
 -40.512   -5.847 16A      16-3    315
 -37.136    5.847 12B     10-19    205
 -37.136   -5.847 16B     14-19    289
 -33.760    5.847 12C      10-9    195
 -33.760   -5.847 16C      16-6    318
 -30.384    5.847 12D      11-7    214
 -30.384   -5.847 16D     16-12    324
 -27.008    5.847 12E     13-13    262
 -27.008   -5.847 16E     17-11    344
 -23.632    5.847 12F      14-1    271
